name,alt_name,swatch_image_url,path_to_image,path_to_returned_color,most_common_hex,most_common_rgb
Cadmium Yellow Medium,#6000366,https://goldenhub.goldenpaints.com/storage/uploads/Cadmium_Yellow_Medium_Swatch.jpg,./images/cadmium_yellow_medium_swatch.jpg,./returned_colors/cadmium_yellow_medium_returned.jpg,#f1d220,"[241, 210, 32]"
Canton Rose,#6000744,https://goldenhub.goldenpaints.com/storage/uploads/Canton_Rose_Swatch.jpg,./images/canton_rose_swatch.jpg,./returned_colors/canton_rose_returned.jpg,#c97e5f,"[201, 126, 95]"
Carl's Crimson (Permanent),#6000685,https://goldenhub.goldenpaints.com/storage/uploads/Carl's_Crimson_(Permanent)_Swatch.jpg,./images/carl's_crimson_(permanent)_swatch.jpg,./returned_colors/carl's_crimson_(permanent)_returned.jpg,#642622,"[100, 38, 34]"
Cerulean Blue (Genuine),#6000848,https://goldenhub.goldenpaints.com/storage/uploads/Cerulean_Blue_(Genuine)_Swatch.jpg,./images/cerulean_blue_(genuine)_swatch.jpg,./returned_colors/cerulean_blue_(genuine)_returned.jpg,#1a4384,"[26, 67, 132]"
Cerulean Blue French,#6000857,https://goldenhub.goldenpaints.com/storage/uploads/Cerulean_Blue_French_Swatch.jpg,./images/cerulean_blue_french_swatch.jpg,./returned_colors/cerulean_blue_french_returned.jpg,#132f70,"[19, 47, 112]"
Chromium Oxide Green,#6001223,https://goldenhub.goldenpaints.com/storage/uploads/Chromium_Oxide_Green_Swatch.jpg,./images/chromium_oxide_green_swatch.jpg,./returned_colors/chromium_oxide_green_returned.jpg,#517339,"[81, 115, 57]"
Cinnabar Green Light,#6001153,https://goldenhub.goldenpaints.com/storage/uploads/Cinnabar_Green_Light_Swatch.jpg,./images/cinnabar_green_light_swatch.jpg,./returned_colors/cinnabar_green_light_returned.jpg,#b6b432,"[182, 180, 50]"
Cobalt Blue,#6000927,https://goldenhub.goldenpaints.com/storage/uploads/Cobalt_Blue_Swatch.jpg,./images/cobalt_blue_swatch.jpg,./returned_colors/cobalt_blue_returned.jpg,#16297e,"[22, 41, 126]"
Cobalt Blue Deep,#6000937,https://goldenhub.goldenpaints.com/storage/uploads/Cobalt_Blue_Deep_Swatch.jpg,./images/cobalt_blue_deep_swatch.jpg,./returned_colors/cobalt_blue_deep_returned.jpg,#1b2a81,"[27, 42, 129]"
Cobalt Green,#6001250,https://goldenhub.goldenpaints.com/storage/uploads/Cobalt_Green_Swatch.jpg,./images/cobalt_green_swatch.jpg,./returned_colors/cobalt_green_returned.jpg,#2f6531,"[47, 101, 49]"
