name,alt_name,swatch_image_url,path_to_image,path_to_returned_color,most_common_hex,most_common_rgb
Permanent Crimson,#6000687,https://goldenhub.goldenpaints.com/storage/uploads/Permanent_Crimson_Swatch.jpg,./images/permanent_crimson_swatch.jpg,./returned_colors/permanent_crimson_returned.jpg,#581f1a,"[88, 31, 26]"
Permanent Green,#6001263,https://goldenhub.goldenpaints.com/storage/uploads/Permanent_Green_Swatch.jpg,./images/permanent_green_swatch.jpg,./returned_colors/permanent_green_returned.jpg,#17612d,"[23, 97, 45]"
Permanent Green Light,#6001163,https://goldenhub.goldenpaints.com/storage/uploads/Permanent_Green_Light_Swatch.jpg,./images/permanent_green_light_swatch.jpg,./returned_colors/permanent_green_light_returned.jpg,#57b352,"[87, 179, 82]"
Permanent Lemon,#6000263,https://goldenhub.goldenpaints.com/storage/uploads/Permanent_Lemon_Swatch.jpg,./images/permanent_lemon_swatch.jpg,./returned_colors/permanent_lemon_returned.jpg,#ece12f,"[236, 225, 47]"
Permanent Orange,#6000542,https://goldenhub.goldenpaints.com/storage/uploads/Permanent_Orange_Swatch.jpg,./images/permanent_orange_swatch.jpg,./returned_colors/permanent_orange_returned.jpg,#f76524,"[247, 101, 36]"
Permanent Red-Orange,#6000563,https://goldenhub.goldenpaints.com/storage/uploads/Permanent_Red-Orange_Swatch.jpg,./images/permanent_red-orange_swatch.jpg,./returned_colors/permanent_red-orange_returned.jpg,#c6491c,"[198, 73, 28]"
Permanent Yellow Deep,#6000423,https://goldenhub.goldenpaints.com/storage/uploads/Permanent_Yellow_Deep_Swatch.jpg,./images/permanent_yellow_deep_swatch.jpg,./returned_colors/permanent_yellow_deep_returned.jpg,#f3ab13,"[243, 171, 19]"
Permanent Yellow Light,#6000303,https://goldenhub.goldenpaints.com/storage/uploads/Permanent_Yellow_Light_Swatch.jpg,./images/permanent_yellow_light_swatch.jpg,./returned_colors/permanent_yellow_light_returned.jpg,#ede133,"[237, 225, 51]"
Permanent Yellow Medium,#6000383,https://goldenhub.goldenpaints.com/storage/uploads/Permanent_Yellow_Medium_Swatch.jpg,./images/permanent_yellow_medium_swatch.jpg,./returned_colors/permanent_yellow_medium_returned.jpg,#eed129,"[238, 209, 41]"
Persian Rose,#6000713,https://goldenhub.goldenpaints.com/storage/uploads/Persian_Rose_Swatch.jpg,./images/persian_rose_swatch.jpg,./returned_colors/persian_rose_returned.jpg,#dd4947,"[221, 73, 71]"
Perylene Crimson,#6000686,https://goldenhub.goldenpaints.com/storage/uploads/Perylene_Crimson_Swatch.jpg,./images/perylene_crimson_swatch.jpg,./returned_colors/perylene_crimson_returned.jpg,#471d1d,"[71, 29, 29]"
Phthalo Blue,#6001004,https://goldenhub.goldenpaints.com/storage/uploads/Phthalo_Blue_Swatch.jpg,./images/phthalo_blue_swatch.jpg,./returned_colors/phthalo_blue_returned.jpg,#162857,"[22, 40, 87]"
Phthalo Green,#6001284,https://goldenhub.goldenpaints.com/storage/uploads/Phthalo_Green_Swatch.jpg,./images/phthalo_green_swatch.jpg,./returned_colors/phthalo_green_returned.jpg,#122633,"[18, 38, 51]"
Phthalo Green-Yellowish,#6001264,https://goldenhub.goldenpaints.com/storage/uploads/Phthalo_Green-Yellowish_Swatch.jpg,./images/phthalo_green-yellowish_swatch.jpg,./returned_colors/phthalo_green-yellowish_returned.jpg,#14282c,"[20, 40, 44]"
Phthalo Turquoise,#6001024,https://goldenhub.goldenpaints.com/storage/uploads/Phthalo_Turquoise_Swatch.jpg,./images/phthalo_turquoise_swatch.jpg,./returned_colors/phthalo_turquoise_returned.jpg,#112834,"[17, 40, 52]"
Provence Violet Bluish,#6000754,https://goldenhub.goldenpaints.com/storage/uploads/Provence_Violet_Bluish_Swatch.jpg,./images/provence_violet_bluish_swatch.jpg,./returned_colors/provence_violet_bluish_returned.jpg,#332674,"[51, 38, 116]"
Provence Violet Reddish,#6000734,https://goldenhub.goldenpaints.com/storage/uploads/Provence_Violet_Reddish_Swatch.jpg,./images/provence_violet_reddish_swatch.jpg,./returned_colors/provence_violet_reddish_returned.jpg,#662851,"[102, 40, 81]"
Prussian Blue,#6000982,https://goldenhub.goldenpaints.com/storage/uploads/Prussian_Blue_Swatch.jpg,./images/prussian_blue_swatch.jpg,./returned_colors/prussian_blue_returned.jpg,#0e1b26,"[14, 27, 38]"
Pyrrole Orange,#6001927,https://goldenhub.goldenpaints.com/storage/uploads/Pyrrole_Orange_Swatch.jpg,./images/pyrrole_orange_swatch.jpg,./returned_colors/pyrrole_orange_returned.jpg,#f75903,"[247, 89, 3]"
Pyrrole Red,#6001925,https://goldenhub.goldenpaints.com/storage/uploads/Pyrrole_Red_Swatch.jpg,./images/pyrrole_red_swatch.jpg,./returned_colors/pyrrole_red_returned.jpg,#b71a15,"[183, 26, 21]"
Quinacridone Gold Brown,#6000874,https://goldenhub.goldenpaints.com/storage/uploads/Quinacridone_Gold_Brown_Swatch.jpg,./images/quinacridone_gold_brown_swatch.jpg,./returned_colors/quinacridone_gold_brown_returned.jpg,#411c1a,"[65, 28, 26]"
Quinacridone Magenta,#6000775,https://goldenhub.goldenpaints.com/storage/uploads/Quinacridone_Magenta_Swatch.jpg,./images/quinacridone_magenta_swatch.jpg,./returned_colors/quinacridone_magenta_returned.jpg,#542223,"[84, 34, 35]"
Quinacridone Red,#6000665,https://goldenhub.goldenpaints.com/storage/uploads/Quinacridone_Red_Swatch.jpg,./images/quinacridone_red_swatch.jpg,./returned_colors/quinacridone_red_returned.jpg,#a12e24,"[161, 46, 36]"
Quinacridone Violet,#6000785,https://goldenhub.goldenpaints.com/storage/uploads/Quinacridone_Violet_Swatch.jpg,./images/quinacridone_violet_swatch.jpg,./returned_colors/quinacridone_violet_returned.jpg,#4c2029,"[76, 32, 41]"
Raw Sienna,#6001501,https://goldenhub.goldenpaints.com/storage/uploads/Raw_Sienna_Swatch.jpg,./images/raw_sienna_swatch.jpg,./returned_colors/raw_sienna_returned.jpg,#895f25,"[137, 95, 37]"
Raw Umber,#6001621,https://goldenhub.goldenpaints.com/storage/uploads/Raw_Umber_Swatch.jpg,./images/raw_umber_swatch.jpg,./returned_colors/raw_umber_returned.jpg,#1f231d,"[31, 35, 29]"
Red Ochre,#6001581,https://goldenhub.goldenpaints.com/storage/uploads/Red_Ochre_Swatch.jpg,./images/red_ochre_swatch.jpg,./returned_colors/red_ochre_returned.jpg,#6c3b27,"[108, 59, 39]"
Red Umber,#6001671,https://goldenhub.goldenpaints.com/storage/uploads/Red_Umber_Swatch.jpg,./images/red_umber_swatch.jpg,./returned_colors/red_umber_returned.jpg,#322923,"[50, 41, 35]"
SF Cerulean Blue French,#6003857,https://goldenhub.goldenpaints.com/storage/uploads/SF_Cerulean_Blue_French_Swatch.jpg,./images/sf_cerulean_blue_french_swatch.jpg,./returned_colors/sf_cerulean_blue_french_returned.jpg,#273570,"[39, 53, 112]"
SF Cobalt Violet Light,#6003728,https://goldenhub.goldenpaints.com/storage/uploads/SF_Cobalt_Violet_Light_Swatch.jpg,./images/sf_cobalt_violet_light_swatch.jpg,./returned_colors/sf_cobalt_violet_light_returned.jpg,#893298,"[137, 50, 152]"
SF Flake White,#6003104,https://goldenhub.goldenpaints.com/storage/uploads/SF_Flake_White_Swatch.jpg,./images/sf_flake_white_swatch.jpg,./returned_colors/sf_flake_white_returned.jpg,#deddde,"[222, 221, 222]"
SF French Ardoise Grey,#6003050,https://goldenhub.goldenpaints.com/storage/uploads/SF_French_Ardoise_Grey_Swatch.jpg,./images/sf_french_ardoise_grey_swatch.jpg,./returned_colors/sf_french_ardoise_grey_returned.jpg,#8d867a,"[141, 134, 122]"
SF Italian Terra Verte,#6003013,https://goldenhub.goldenpaints.com/storage/uploads/SF_Italian_Terra_Verte_Swatch.jpg,./images/sf_italian_terra_verte_swatch.jpg,./returned_colors/sf_italian_terra_verte_returned.jpg,#3c5444,"[60, 84, 68]"
SF Porcelain White,#6003103,https://goldenhub.goldenpaints.com/storage/uploads/SF_Porcelain_White_Swatch.jpg,./images/sf_porcelain_white_swatch.jpg,./returned_colors/sf_porcelain_white_returned.jpg,#d4d2d8,"[212, 210, 216]"
SF Titanium White,#6003101,https://goldenhub.goldenpaints.com/storage/uploads/SF_Titanium_White_Swatch.jpg,./images/sf_titanium_white_swatch.jpg,./returned_colors/sf_titanium_white_returned.jpg,#dcdbe1,"[220, 219, 225]"
SF Ultramarine Blue,#6003942,https://goldenhub.goldenpaints.com/storage/uploads/SF_Ultramarine_Blue_Swatch.jpg,./images/sf_ultramarine_blue_swatch.jpg,./returned_colors/sf_ultramarine_blue_returned.jpg,#1f235a,"[31, 35, 90]"
SF Ultramarine Blue French,#6003962,https://goldenhub.goldenpaints.com/storage/uploads/SF_Ultramarine_Blue_French_Swatch.jpg,./images/sf_ultramarine_blue_french_swatch.jpg,./returned_colors/sf_ultramarine_blue_french_returned.jpg,#25285a,"[37, 40, 90]"
SF Ultramarine Pink,#6003774,https://goldenhub.goldenpaints.com/storage/uploads/SF_Ultramarine_Pink_Swatch.jpg,./images/sf_ultramarine_pink_swatch.jpg,./returned_colors/sf_ultramarine_pink_returned.jpg,#663853,"[102, 56, 83]"
SF Ultramarine Violet,#6003764,https://goldenhub.goldenpaints.com/storage/uploads/SF_Ultramarine_Violet_Swatch.jpg,./images/sf_ultramarine_violet_swatch.jpg,./returned_colors/sf_ultramarine_violet_returned.jpg,#2a2a4e,"[42, 42, 78]"
Sap Green,#6001303,https://goldenhub.goldenpaints.com/storage/uploads/Sap_Green_Swatch.jpg,./images/sap_green_swatch.jpg,./returned_colors/sap_green_returned.jpg,#273b29,"[39, 59, 41]"
Sevres Blue,#6000823,https://goldenhub.goldenpaints.com/storage/uploads/Sevres_Blue_Swatch.jpg,./images/sevres_blue_swatch.jpg,./returned_colors/sevres_blue_returned.jpg,#1f6bb7,"[31, 107, 183]"
Spanish Earth,#6001601,https://goldenhub.goldenpaints.com/storage/uploads/Spanish_Earth_Swatch.jpg,./images/spanish_earth_swatch.jpg,./returned_colors/spanish_earth_returned.jpg,#4c2f27,"[76, 47, 39]"
Stil De Grain,#6001464,https://goldenhub.goldenpaints.com/storage/uploads/Stil_De_Grain_Swatch.jpg,./images/stil_de_grain_swatch.jpg,./returned_colors/stil_de_grain_returned.jpg,#3a2f24,"[58, 47, 36]"
Titan Buff,#6000160,https://goldenhub.goldenpaints.com/storage/uploads/Titan_Buff_Swatch.jpg,./images/titan_buff_swatch.jpg,./returned_colors/titan_buff_returned.jpg,#e7d8ca,"[231, 216, 202]"
Titanium - Zinc White,#6000121,https://goldenhub.goldenpaints.com/storage/uploads/Titanium_-_Zinc_White_Swatch.jpg,./images/titanium_-_zinc_white_swatch.jpg,./returned_colors/titanium_-_zinc_white_returned.jpg,#f7f4df,"[247, 244, 223]"
Titanium White,#6000101,https://goldenhub.goldenpaints.com/storage/uploads/Titanium_White_Swatch.jpg,./images/titanium_white_swatch.jpg,./returned_colors/titanium_white_returned.jpg,#f5f2e1,"[245, 242, 225]"
Transparent Red Iron Oxide,#6001922,https://goldenhub.goldenpaints.com/storage/uploads/Transparent_Red_Iron_Oxide_Swatch.jpg,./images/transparent_red_iron_oxide_swatch.jpg,./returned_colors/transparent_red_iron_oxide_returned.jpg,#261921,"[38, 25, 33]"
Transparent Yellow Iron Oxide,#6001920,https://goldenhub.goldenpaints.com/storage/uploads/Transparent_Yellow_Iron_Oxide_Swatch.jpg,./images/transparent_yellow_iron_oxide_swatch.jpg,./returned_colors/transparent_yellow_iron_oxide_returned.jpg,#371b1c,"[55, 27, 28]"
Turkey Umber,#6001641,https://goldenhub.goldenpaints.com/storage/uploads/Turkey_Umber_Swatch.jpg,./images/turkey_umber_swatch.jpg,./returned_colors/turkey_umber_returned.jpg,#1f2824,"[31, 40, 36]"
Turquoise,#6000863,https://goldenhub.goldenpaints.com/storage/uploads/Turquoise_Swatch.jpg,./images/turquoise_swatch.jpg,./returned_colors/turquoise_returned.jpg,#1a6b70,"[26, 107, 112]"
Ultramarine Blue,#6000942,https://goldenhub.goldenpaints.com/storage/uploads/Ultramarine_Blue_Swatch.jpg,./images/ultramarine_blue_swatch.jpg,./returned_colors/ultramarine_blue_returned.jpg,#162040,"[22, 32, 64]"
Ultramarine Blue French,#6000962,https://goldenhub.goldenpaints.com/storage/uploads/Ultramarine_Blue_French_Swatch.jpg,./images/ultramarine_blue_french_swatch.jpg,./returned_colors/ultramarine_blue_french_returned.jpg,#182247,"[24, 34, 71]"
Ultramarine Pink,#6000774,https://goldenhub.goldenpaints.com/storage/uploads/Ultramarine_Pink_Swatch.jpg,./images/ultramarine_pink_swatch.jpg,./returned_colors/ultramarine_pink_returned.jpg,#371d2c,"[55, 29, 44]"
Ultramarine Violet,#6000764,https://goldenhub.goldenpaints.com/storage/uploads/Ultramarine_Violet_Satch.jpg,./images/ultramarine_violet_swatch.jpg,./returned_colors/ultramarine_violet_returned.jpg,#202141,"[32, 33, 65]"
Unbleached Titanium,#6000181,https://goldenhub.goldenpaints.com/storage/uploads/Unbleached_Titanium_Swatch.jpg,./images/unbleached_titanium_swatch.jpg,./returned_colors/unbleached_titanium_returned.jpg,#cdb792,"[205, 183, 146]"
Unbleached Titanium Pale,#6000191,https://goldenhub.goldenpaints.com/storage/uploads/Unbleached_Titanium_Pale_Swatch.jpg,./images/unbleached_titanium_pale_swatch.jpg,./returned_colors/unbleached_titanium_pale_returned.jpg,#dbc9aa,"[219, 201, 170]"
Van Dyke Brown,#6001680,https://goldenhub.goldenpaints.com/storage/uploads/Van-Dyke-Brown_100x100.jpg,./images/van_dyke_brown_swatch.jpg,./returned_colors/van_dyke_brown_returned.jpg,#2d3630,"[45, 54, 48]"
Veronese Green,#6001103,https://goldenhub.goldenpaints.com/storage/uploads/Veronese_Green_Swatch.jpg,./images/veronese_green_swatch.jpg,./returned_colors/veronese_green_returned.jpg,#23846a,"[35, 132, 106]"
Viridian,#6001245,https://goldenhub.goldenpaints.com/storage/uploads/Viridian_Swatch.jpg,./images/viridian_swatch.jpg,./returned_colors/viridian_returned.jpg,#1a3237,"[26, 50, 55]"
Yellow Ochre (Domestic),#6001401,https://goldenhub.goldenpaints.com/storage/uploads/Yellow_Ochre_(Domestic)_Swatch.jpg,./images/yellow_ochre_(domestic)_swatch.jpg,./returned_colors/yellow_ochre_(domestic)_returned.jpg,#ae802b,"[174, 128, 43]"
Yellow Ochre Burnt,#6001541,https://goldenhub.goldenpaints.com/storage/uploads/Yellow_Ochre_Burnt_Swatch.jpg,./images/yellow_ochre_burnt_swatch.jpg,./returned_colors/yellow_ochre_burnt_returned.jpg,#5c4322,"[92, 67, 34]"
Zinc White,#6000141,https://goldenhub.goldenpaints.com/storage/uploads/Zinc_White_Swatch.jpg,./images/zinc_white_swatch.jpg,./returned_colors/zinc_white_returned.jpg,#f6f4d9,"[246, 244, 217]"
